post_id,ticker,excluded_flag,excluded_reason,bars_found,window_quality,confirmatory_eligible,market_adjusted_return,raw_volatility,time_bucket,baseline_mean,baseline_std,baseline_n,baseline_p_threshold,vol_zscore,vol_percentile_rank,abnormal_volatility_flag
2066237607244427761,BOX,False,,43,partial,True,-0.011091794220599027,0.002207031659580386,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-6.966401244701052,0.0,False
2066167615618466060,BOX,False,,43,partial,True,-0.011091794220599027,0.002207031659580386,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-6.966401244701052,0.0,False
2065989559905812973,BOX,False,,43,partial,True,-0.011091794220599027,0.002207031659580386,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-6.966401244701052,0.0,False
2065964446489710939,BOX,False,,43,partial,True,-0.011091794220599027,0.002207031659580386,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-6.966401244701052,0.0,False
2065842361834651996,BOX,False,,43,partial,True,-0.011091794220599027,0.002207031659580386,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-6.966401244701052,0.0,False
2065616509666472329,BOX,False,,43,partial,True,-0.011091794220599027,0.002207031659580386,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-6.966401244701052,0.0,False
2065594956186865815,BOX,False,,43,partial,True,-0.011091794220599027,0.002207031659580386,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-6.966401244701052,0.0,False
2065469347712401712,BOX,False,,24,insufficient,False,-0.0033434515102037654,0.0007514675398325706,2.0,,,,,,,False
2065287110744297809,BOX,False,,35,partial,True,-0.0101424633785403,0.0037222589258972434,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-1.6559366603446881,0.0,False
2064922814688481678,BOX,False,,55,partial,True,-0.037658731714459326,0.0022033910932458493,0.0,0.00419474496533706,0.00028532857008037186,3.0,0.004396504703856751,-6.979160451861804,0.0,False
